ID	positive	negative
AP024742.1-14478-14491-14684-14697	1.3497332e-05	0.9999865
AP024742.1-18018-18031-18115-18128	0.34720793	0.6527921
AP024742.1-21961-21974-22046-22059	0.99879766	0.0012023373
AP024742.1-26991-27003-27259-27271	1.4157416e-07	0.9999999
AP024742.1-30970-30981-31092-31103	0.8314788	0.16852124
AP024742.1-33524-33536-33642-33654	0.01263895	0.9873611
AP024742.1-37004-37017-37087-37100	2.9805665e-07	0.99999964
AP024742.1-37648-37663-37727-37742	0.8057836	0.19421637
AP024742.1-40029-40042-40244-40257	1.5880023e-11	1.0
AP024742.1-45819-45830-45998-46009	0.038211677	0.9617883
AP024742.1-46114-46135-46192-46213	0.04722791	0.95277214
AP024742.1-51895-51907-52037-52049	0.0012562734	0.9987437
AP024742.1-53430-53441-53519-53530	3.8866046e-06	0.99999607
AP024742.1-60178-60191-60462-60475	9.693015e-07	0.99999905
AP024742.1-60560-60571-60690-60701	0.6832338	0.31676617
AP024742.1-62103-62116-62371-62384	3.456678e-09	1.0
AP024742.1-62983-62995-63183-63195	0.9998623	0.00013764728
AP024742.1-63520-63535-63654-63669	0.78696215	0.21303786
AP024742.1-68666-68679-68918-68931	2.9743032e-07	0.99999976
AP024742.1-68937-68950-69015-69028	0.0016543492	0.9983456
AP024742.1-71596-71609-71734-71747	2.0425774e-07	0.99999976
AP024742.1-71951-71964-72061-72074	0.00021731597	0.99978274
AP024742.1-72442-72453-72492-72503	0.0021932153	0.99780685
AP024742.1-73037-73048-73292-73303	7.054235e-07	0.9999993
AP024742.1-78741-78754-79005-79018	0.00048715866	0.9995128
AP024742.1-85142-85153-85323-85334	1.9402979e-08	1.0
AP024742.1-100826-100839-100979-100992	4.8815757e-08	1.0
AP024742.1-101081-101094-101363-101376	5.5972663e-08	1.0
AP024742.1-119762-119777-119956-119971	6.5439167e-07	0.9999994
AP024742.1-124426-124439-124651-124664	3.386379e-06	0.99999666
AP024742.1-135926-135937-136161-136172	1.07921814e-07	0.9999999
